Record Key,Taxon Key,Scientific Name,Common Name,Taxon Group,grid,location,Sex/Stage,count,survey,date,Sighting Year,Designation
DSS0001200018V8O,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ850830,Little Stanneylands,None,Present,Aural Bat Detector,14/06/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS0001200018IEJ,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ85886476,"Giantswood Lane, Congleton",None,1,Aural Bat Detector,16/05/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS0001200018TPN,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ92648251,"Land off Dickens Lane, Poynton",None,1 Registration,Aural Bat Detector,21/09/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120000ZUSY,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ6503876775,"area off boardwalk, western reed bed",Adult,3,Not Provided,27/04/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS0001200017YS5,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ812643,"Somerford Park Farm, Holmes Chapel Rd, Congleton, CW12 4SW",None,1,Not Provided,31/08/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS0001200014773,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ4070,"Chester Zoo, Various places in Zoo",None,1,Pass (Bat),16/05/2015,2015,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS0001200018PVN,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ9281582550,"Land south of Dickens Lane, Poynton",None,6,Not Provided,04/05/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS0001200018CF3,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ8373282016,"49 Carrwood Road, Wilmslow",None,Present,Pass (Bat),16/08/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001A7G1,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ84247995,Land to the West of Alderley Road,None,1,Pass (Bat),21/06/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001AATE,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ84237995,Land to the West of Alderley Road,None,1,Pass (Bat),21/06/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS0001200017YRF,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ81226431,"Somerford Park Farm, Holmes Chapel Rd, Congleton, CW12 4SW",None,1,Aural Bat Detector - Pass,21/09/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS0001200018CFH,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ8373282016,"49 Carrwood Road, Wilmslow",None,Present,Pass (Bat),19/07/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
MMEEE1KMEEE1FIMF,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ28909192,New Brighton Rugby ground and Cross Lane School Lane field,Not recorded,Present,Not Provided,28/06/2021,2021,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120000TVVX,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ652765,Marbury Country Park,None,Present,Aural Bat Detector,16/08/2013,2013,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001AVZS,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ437520,Caldecott Green Lane,None,Rare,Not Provided,01/01/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001ACW6,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ592479,"Land off Cholmondeley Road, Wrenbury, CW5 8HG",None,1,Aural Bat Detector,01/09/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS0001200018TQ4,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ92638253,"Land off Dickens Lane, Poynton",None,3,Pass (Bat),04/05/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
MMEEE1KMEEE1N3CE,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ66699417,Culcheth Warrington,Not recorded,1,Bat detector,01/06/2019,2019,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS0001200017O88,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ821648,Somerford Park Farm (proposed showground),None,Present,Pass (Bat),31/08/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS0001200018PUZ,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ9281582550,"Land south of Dickens Lane, Poynton",None,1,Not Provided,21/09/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001A7G7,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ84267978,Land to the West of Alderley Road,None,1,Pass (Bat),05/10/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
