Obs Key,Taxon grou,TaxonName,Common Nam,date,grid,location,survey,note,All Design,Sample Yea,Recorders,Sample 1 k,Northing,Easting
SR0003650000GLAQ,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,27/09/2012,SU02629527,Cotswold Water Park Pit 34,CWP Bat Surveys,detector surveyrecorded foraging; 1 Count; field record; Aural bat detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2012,Danielle Linton,SU0295,195275,402625
SR0003650001ALQK,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,01/11/2018,SO664192,Mitcheldean,Ecological consultants surveys,Recorder collated records on behalf of CSa Environmental; Passes over 252 monitoring nights; 2 Count of passes; Static detector; Field Observation,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2018,Becca Grainger-Wood,SO6619,219250,366450
SR0003650001ALRD,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,01/05/2019,SO938203,Leckhampton,Ecological consultants surveys,Recorder collated records on behalf of CSa Environmental; Passes over 75 monitoring nights; 13 Count of passes; Static detector; Field Observation,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2019,Becca Grainger-Wood,SO9320,220350,393850
SR00036500017DGR,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,01/05/2018,SO648015,Lydney Harbour,Ecological consultants surveys,"Bat passes recorded by automated static detectors deployed in May, July and September 2018.; Records made by a Wardell Armstrong. Names used are those that made the request (Eleanor) and request update (Beth). Katherine involved in analysing/verifying th","Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2018,beth jasper;Eleanor Harrison,SO6401,201550,364850
SR0003650001ALR0,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,01/04/2019,SO664192,Mitcheldean,Ecological consultants surveys,Recorder collated records on behalf of CSa Environmental; Passes over 35 monitoring nights; 2 Count of passes; Static detector; Field Observation,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2019,Becca Grainger-Wood,SO6619,219250,366450
SR0003650000VKTD,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,14/08/2015,ST743914,"Cloverlea Barn, Kingswood",Ecological consultants surveys,unknown; 1 Count ; static bat detector record; Field Observation,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2015,Jo Donnelley,ST7491,191450,374350
SR0003650001IMGN,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,12/05/2020,SO7343114008,"Rock Lane, Westbury-on-Severn",Ecological consultants surveys,Foraging and commuting passes; 5 Count; Field Observation,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2020,Rachel Barber,SO7314,214008,373431
SR0003650001ACRN,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,17/07/2019,ST6559099157,"Gloucester Science and Technology Park, Berkeley",Ecological consultants surveys,Recorded foraging and commuting in area nearby; 1 Count; Bat detector; Field Observation,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2019,Hannah Bates,ST6599,199157,365590
SR0003650001ALRI,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,04/07/2019,SO938203,Leckhampton,Ecological consultants surveys,Recorder collated records on behalf of CSa Environmental; Across a three hour transect; 1 Count of pass; Transect survey; Field Observation,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2019,Becca Grainger-Wood,SO9320,220350,393850
SR0003650001A74R,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,22/06/2019,SO6369315350,Delves Inclosure Pond,Gloucestershire Bat Group,Peak frequency at 38kHz. Only got a short sequence so not 100% certain.; 1 Count; aural bat detector; Field Observation,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2019,Brian Phillips,SO6315,215350,363693
SR0003650001A1L0,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,22/06/2019,SO6369315350,Ruardean Walk Fishing pond,Casual records sent to GCER,One short sewuence with peak freq down to 38kHz; 1 Count; Field Observation,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2019,Brian Phillips,SO6315,215350,363693
SR00036500016NI1,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,01/08/2017,SP012021,"Broad Walk, Cirencester Park",Ecological consultants surveys,Foraging/commuting - bat detector record (Elekon Batlogger M); Field Observation,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2017,Matt Attrill,SP0102,202150,401250
SR00036500016J9J,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,01/09/2016,SO984198,Charlton Kings,Ecological consultants surveys,Foraging Count of activity; Field Observation,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2016,Fiona Sharpe,SO9819,219850,398450
SR0003650001A4YJ,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,19/07/2016,ST742914,"Cloverlea Barn, Kingswood",Ecological consultants surveys,Seen between 19 and 25 July 2016; 1 Count ; Static survey; Field Observation,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2016,Jo Donnelly,ST7491,191450,374250
SR00036500016B4R,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,12/06/2016,SO922200,"Chargrove Orchard,. Land at Up Hatherley Way",Casual records sent to GCER,Bat PassesSO92/SSR - File 2 - Doc 15; 7 Count ; Bat detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2016,Georgia Croxford,SO9220,220050,392250
SR00036500016B4Q,terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,11/06/2016,SO922200,"Chargrove Orchard,. Land at Up Hatherley Way",Casual records sent to GCER,Bat PassesSO92/SSR - File 2 - Doc 15; 13 Count ; Bat detector,"Bern-A2, CMS_A2, CMS_EUROBATS-A1, HabDir-A4, HabReg-Sch2, WACA-Sch5_sect9.4b, WACA-Sch5_sect9.5a, WACA-Sch5Sect9.4c",2016,Georgia Croxford,SO9220,220050,392250
