Taxon group,Species Name,Common Name,grid,location,date,count,note,Status,Easting,Northing
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST80546164,"Bradford Rugby Football Club, Ashley Lane, Winsley, Bradford-on-Avon",01/08/2018,Bat site: not roost,"Comment: Quantity: Present, Status: Flying over [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",380540,161640
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST825615,Bradford on Avon,10/09/2007,Bat site: Not roost,In old orchard  Poss Nathusius pipistrelle 35khz.  [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",382500,161500
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST833613,Woolley Street,27/08/2007,1 Count ; Bat site: Not roost,In garden to west of house.  [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",383300,161300
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST835544,"Pole's Hole Farm, Wesley Lane, Southwick",05/07/2016,Bat site: Not roost,1 pass recorded using an Anabat SD2 detector  [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",383500,154400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST838548,"Pole's Hole Farm, Wesley Lane, Southwick",16/06/2016,Bat site: Not roost,3 passes recorded using an Anabat SD2 detector  [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",383800,154800
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST844500,Dilton Marsh,21/09/2016,1 Count ; Bat site: Not roost,One pass on transect survey [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",384400,150000
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST844500,Dilton Marsh,22/09/2016,1 Count ; Bat site: Not roost,One pass on transect survey [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",384400,150000
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST844500,Dilton Marsh,23/09/2016,1 Count ; Bat site: Not roost,One pass on transect survey [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",384400,150000
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST8445968813,"Artificial bat cave, Spring Park, Westwells Road, Hawthorn, Corsham, Wilts",01/08/2014,Bat site: Not Roost,Activity recorded in Autumn but not Spring and not Summer [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",384459,168813
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,ST8453355786,Southwick Court Farm,24/06/2021,1 Count ; Bat site: not roost,"Walked survey with EM Touch; ID confirmed manually by county recorder, Myotis ID supported by BTO Acoustic Pipeline (p>0.6); time stamp = 23:01:55 [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",384533,155786
