species,species_name
Nathusius' pipistrelle,Pipistrellus nathusii
Natterer's bat,Myotis nattereri
Small Myotis sp.,Myotis spp.
Barbastelle,Barbastella barbastellus
Soprano pipistrelle,Pipistrellus pygmaeus
Whiskered bat,Myotis mystacinus
Brandt's bat,Myotis brandti
Alcathoe bat,Myotis alcathoe
Daubenton's bat,Myotis daubentonii
Lesser horseshoe bat,Rhinolophus hipposideros
Leisler's bat,Nyctalus leisleri
Greater horseshoe bat,Rhinolophus ferrumequinum
Common pipistrelle,Pipistrellus pipistrellus
Noctule,Nyctalus noctula
Kuhl's pipistrelle,Pipistrellus kuhlii
Bechstein's bat,Myotis bechsteinii
Brown long-eared bat,Plecotus auritus
Pipistrelle sp.,Pipistrelle spp.
Serotine,Eptesicus serotinus
Grey long-eared bat,Plecotus austriacus
