site_id,survey_id,trap_id,trap_number,trap_osg,trap_x,trap_y,trap_lat,trap_lon
156,1953,3687,1,TQ0792872824,507928,172824,51.444133,-0.44841841
402,1949,,,TM47196709,647190,267090,52.246427,1.6196892
402,1950,,,TM47196709,647190,267090,52.246427,1.6196892
402,1948,,,TM47196709,647190,267090,52.246427,1.6196892
117,1954,3688,1,SU65056979,465050,169790,51.423396,-1.0658273
117,1954,3689,2,SU65146958,465140,169580,51.421498,-1.0645717
117,1954,3690,3,SU65176973,465170,169730,51.422843,-1.0641127
145,116,174,2,NU28530240,428530,602400,55.314859,-1.5520313
8,80,161,3,ST5052260310,350522,160310,51.339712,-2.7116892
8,80,159,1,ST5079059516,350790,159516,51.332597,-2.7077321
8,80,160,2,ST5061159600,350611,159600,51.333337,-2.7103129
8,1086,965,1,ST5071059563,350710,159563,51.333012,-2.7088869
115,1743,3107,2,SU9089284748,490892,184748,51.554306,-0.69040549
115,1743,3106,1,SU9089284748,490892,184748,51.554306,-0.69040549
122,221,,,TQ92451819,592450,118190,50.931049,0.73734506
286,1581,,,NT00207720,300200,677200,55.977374,-3.6008583
8,1550,2536,5,ST5267058833,352670,158833,51.326616,-2.6806583
8,1550,2537,6,ST5304159056,353041,159056,51.328652,-2.6753636
8,1550,2532,1,ST5062559607,350625,159607,51.333401,-2.710113
8,1550,2534,3,ST5081659469,350816,159469,51.332177,-2.7073525
8,1550,2535,4,ST5242058684,352420,158684,51.325255,-2.684226
8,1550,2533,2,ST5072759559,350727,159559,51.332978,-2.7086423
332,1786,3227,1,TL1676256436,516762,256436,52.193808,-0.29320208
332,1786,3228,2,TL1669456436,516694,256436,52.193822,-0.29419644
76,823,1948,1,SJ4453293523,344532,393523,53.435554,-2.836396
235,1049,897,1,TG50090099,650090,300990,52.549255,1.6873743
5,1428,2249,3,SK4420329665,444203,329665,52.862663,-1.3448793
5,1428,2248,2,SK4409329820,444093,329820,52.864065,-1.3464922
5,1428,2247,1,SK4405530254,444055,330254,52.867969,-1.346998
208,976,685,2,TQ2894365176,528943,165176,51.371012,-0.1489681
208,976,684,1,TQ2904065244,529040,165244,51.371601,-0.1475507
110,77,149,3,ST5692558234,356925,158234,51.321569,-2.6195227
110,77,148,2,ST5677458220,356774,158220,51.321432,-2.6216877
110,77,147,1,ST5674558339,356745,158339,51.3225,-2.6221183
8,1551,2545,8,ST5114460525,351144,160525,51.341699,-2.7027901
8,1551,2544,7,ST5101660267,351016,160267,51.339369,-2.704592
8,1551,2541,4,ST5198859814,351988,159814,51.335379,-2.690578
8,1551,2543,6,ST5166660003,351666,160003,51.337051,-2.6952255
8,1551,2540,3,ST5212259794,352122,159794,51.33521,-2.688652
30,1413,2206,2,SK22342041,422340,320410,52.780813,-1.67024
30,1413,2205,1,SK22392006,422390,320060,52.777665,-1.6695225
5,1694,3023,2,SK4406829931,444068,329931,52.865065,-1.3468485
5,1694,3022,1,SK4420129660,444201,329660,52.862618,-1.3449097
5,1694,3024,3,SK4403230078,444032,330078,52.866389,-1.3473634
27,168,297,1,TR07951878,607950,118780,50.930972,0.95795627
27,168,298,2,TR08001872,608000,118720,50.930415,0.95863259
257,1346,1661,2,TQ2889297462,528892,197462,51.661168,-0.13790482
257,1346,1660,1,TQ2883897512,528838,197512,51.66163,-0.13866668
257,1346,1662,3,TQ2900797582,529007,197582,51.66222,-0.13619887
257,1346,1663,4,TQ2901697653,529016,197653,51.662856,-0.13604264
142,1345,1658,3,TQ4180587188,541805,187188,51.565744,0.044513225
142,1345,1656,1,TQ4159287155,541592,187155,51.565501,0.041428961
142,1345,1657,2,TQ4172587175,541725,187175,51.565647,0.043354568
142,1345,1659,4,TQ4190987205,541909,187205,51.565871,0.046019525
93,45,87,1,TQ12846315,512840,163150,51.356227,-0.3808428
93,45,88,2,TQ13026310,513020,163100,51.355742,-0.37827472
238,1863,3467,1,TG46002008,646000,320080,52.722385,1.6413903
238,1863,3468,2,TG46092002,646090,320020,52.721806,1.6426752
239,1450,2289,1,TG45521475,645520,314750,52.674785,1.6303235
239,1450,2290,2,TG45311477,645310,314770,52.675059,1.6272388
388,1928,3619,2,TG4272821355,642728,321355,52.735301,1.5939838
388,1928,3618,1,TG4284421264,642844,321264,52.734433,1.5956311
388,1928,3620,3,TG4253721463,642537,321463,52.736356,1.5912404
286,1580,2635,1,NT00207720,300200,677200,55.977374,-3.6008583
93,15,27,1,TQ1284863156,512848,163156,51.356279,-0.38072605
93,15,28,2,TQ1302163102,513021,163102,51.35576,-0.37825973
11,1408,2200,1,SK24205172,424200,351720,53.062183,-1.6403423
11,1408,2201,2,SK24145180,424140,351800,53.062904,-1.6412317
62,1236,1239,2,TA0334423170,503344,423170,53.694757,-0.43631457
122,939,,,TQ92451819,592450,118190,50.931049,0.73734506
370,1744,3111,3,SU9617468887,496174,168887,51.410859,-0.61855768
370,1744,3109,1,SU9614168900,496141,168900,51.410982,-0.61902849
370,1744,3110,2,SU9648268961,496482,168961,51.411472,-0.6141104
132,1382,1736,1,TL3455969654,534559,269654,52.30852,-0.027728271
132,1382,1737,2,TL3456569694,534565,269694,52.308878,-0.027624344
6,1429,2251,2,SK4367329142,443673,329142,52.858005,-1.352821
6,1429,2252,3,SK4365229196,443652,329196,52.858492,-1.3531256
6,1429,2250,1,SK4339428978,443394,328978,52.856553,-1.3569861
188,1906,3559,1,SK37334227442,437334,322744,52.800969,-1.4476908
188,1906,3561,3,SK3751222754,437512,322754,52.801046,-1.4450497
188,1906,3560,2,SK3751822814,437518,322814,52.801585,-1.4449538
365,1696,3027,1,SK2415651815,424156,351815,53.063039,-1.6409918
365,1696,3029,3,SK2440951417,424409,351417,53.05945,-1.6372466
365,1696,3028,2,SK2440951417,424409,351417,53.05945,-1.6372466
365,1696,3028,2,SK2415651815,424156,351815,53.063039,-1.6409918
188,1963,3714,3,SK3714623820,437146,323820,52.810654,-1.4503573
188,1963,3712,1,SK3689823753,436898,323753,52.810068,-1.4540439
188,1963,3713,2,SK3714623820,437146,323820,52.810654,-1.4503573
118,1704,3049,2,NZ3366756335,433667,556335,54.900613,-1.4765329
19,1104,1018,2,TL8760208633,587602,208633,51.744984,0.71605181
19,1104,1017,1,TL8772608633,587726,208633,51.744942,0.7178458
21,633,2121,0,TQ72489717,572480,197170,51.646871,0.49157658
104,1752,3135,1,NU26350025,426350,600250,55.295661,-1.586579
104,1752,3136,2,NU26350015,426350,600150,55.294763,-1.5865883
204,671,1828,1,NZ28718912,428710,589120,55.195521,-1.5505433
61,697,1249,1,SK6192239095,461922,339095,52.945678,-1.0799304
2,1122,1063,2,SJ9717190855,397171,390855,53.414494,-2.0440274
2,1122,1062,1,SJ9701790773,397017,390773,53.413756,-2.0463435
2,1122,1064,3,SJ9690890795,396908,390795,53.413953,-2.0479836
128,1272,1487,3,SV00000000,,,,
128,1272,1485,1,SV00000000,,,,
128,1272,1486,2,SV00000000,,,,
358,1652,2930,2,,,,,
130,1281,1511,2,SV00000000,,,,
122,1290,1518,2,TQ92451819,592450,118190,50.931049,0.73734506
122,1290,1517,1,TQ92441812,592440,118120,50.930423,0.737166
122,220,,,TQ92441812,592440,118120,50.930423,0.737166
156,1497,2388,24,TQ0785672753,507856,172753,51.443509,-0.44947562
172,1893,,,NK0563458060,405634,858060,57.612496,-1.9073638
234,1856,3450,1,TG45831315,645830,313150,52.66029,1.6337067
234,1856,3451,2,TG45927325,645920,373250,53.199403,1.6805426
388,1927,3615,1,TG4284421264,642844,321264,52.734433,1.5956311
388,1927,3617,3,TG4253721463,642537,321463,52.736356,1.5912404
388,1927,3616,2,TG4272821355,642728,321355,52.735301,1.5939838
11,1412,2203,1,SK24145180,424140,351800,53.062904,-1.6412317
11,1412,2204,2,SK24205172,424200,351720,53.062183,-1.6403423
104,1089,981,3,NU26420021,426420,600210,55.295298,-1.5854804
104,1089,982,4,NU26500030,426500,600300,55.296102,-1.5842121
104,1089,979,1,NU26280014,426280,600140,55.294677,-1.5876916
154,172,310,1,TR36125717,636120,157170,51.264748,1.3832287
154,172,312,2,TR35305750,635300,157500,51.268049,1.3717134
71,816,,,,,,,
76,786,1884,1,SJ4442395224,344423,395224,53.45083,-2.8383375
